Date,Comments
"March 4, 2025","The Apple Magic Mouse is a game-changer for anyone in the Apple ecosystem. Its sleek, minimalist design fits perfectly in my workspace, and the touch-sensitive surface allows for seamless scrolling, swiping, and gestures—just like on a MacBook trackpad.I was initially skeptical about its ergonomic comfort, but after using it for extended periods, I found it to be lightweight and easy to maneuver. The Bluetooth connectivity is flawless, and the battery life is incredible, lasting weeks on a single charge.One downside? The charging port placement on the bottom means you can’t use it while charging—but with such a long battery life, I rarely find it to be an issue.If you’re a Mac user looking for a premium, smooth, and intuitive experience, the Apple Magic Mouse is well worth it. Highly recommend!"
"February 21, 2025",Always loved the magic mouse aside from where the charging port is located. But now it's even better with USB-C charging!You definitely can't go wrong with this mouse if you are a macbook user!
"February 21, 2025",This mouse is amazing… it is the first time I use a Mac but I’m surprised how you can move between the different windows you use.
"February 20, 2025",No more messy cord. Can be handed off to a visitor to my office. Functions perfectly. Completely adjustable in settings. Teeny-tiny complaint; grip could be more like the competition (Logi).
"February 19, 2025","I’ve been using the Apple Mouse for several weeks now, and I’m thoroughly impressed with its performance and design. The sleek, minimalist look fits perfectly with my Apple setup, and it feels incredibly solid and premium in hand. The smooth, responsive surface makes scrolling through documents and websites a breeze, and the multi-touch capabilities for gestures are intuitive and work flawlessly. I especially love the ability to swipe between pages and switch apps with a simple gesture—it’s a real productivity booster.The comfort is surprisingly good too. While it’s low-profile, the design fits my hand well and doesn’t cause discomfort even after long hours of use, which was a concern for me at first. The precision is excellent for both everyday tasks and more detailed work like photo editing.One minor downside is that the charging method via Lightning cable can be a bit inconvenient, as you can’t use it while charging. However, the battery life lasts a long time between charges, so it’s not something I have to worry about frequently.Overall, the Apple Mouse offers an excellent balance of style, functionality, and ease of use, and it’s a great addition to any Apple user’s workspace. It’s well worth the investment if you’re looking for a reliable, high-quality mouse."
"February 17, 2025","When I worked in IT, I set up a MacBook with one of these and silently ridiculed the user for needing such a fancy/schmancy mouse: a ten-dollar mouse with a forty-dollar logo. That was until I used it. So now I have a fancy/schmancy mouse that’s worth every penny, except for the location of the charging port, which make the unit unusable when charging."
"February 17, 2025","Awesome mouse. I love the way it works. The white looks great and the glass feels great. I think it’s worth the money. The one problem I had was the packaging. When it arrived, the mouse was out of the box. The box was open and everything was spilled out around the rest of my package. Thankfully, somehow nothing was damaged, despite the box having no safe packaging material. Everything still works though"
"February 14, 2025",I love it! Is perfect :)
"February 13, 2025",Excelente service and product condition
"February 11, 2025","Absolutely the best mouse I’ve ever owned in my life. High-quality well-made, super functional, not noisy, very smooth, good grip, no lag, extremely durable, very fast, Bluetooth mouse you need this if you have an Apple air book or laptop."
"February 9, 2025","This review is for the USB-C version of the Magic Mouse only.When I bought this mouse, there was no disclaimer that it will properly perform only on Sequoia 15.1.1 Apple said that it worked with OS's back prior to Ventura, so I felt safe.  (To be fair, I do not know whether it works on the beta release of Sequoia 15.2).I was running Ventura 13.6, and when I connected the Magic Mouse, it only functioned as a regular mouse - no gesturing, no scrolling, etc.  Button clicks kind of worked, but not always.  I tried it on multiple macs, but the results were the same.I returned it, and purchased a replacement:  same results.  After doing some research, I found others that were having similar results, and finally saw that people had isolated it to only working as advertised on Sequoia 15.1.1.After upgrading my macOS to Sequoia 15.1.1, the USB-C Magic Mouse works as advertised.I hope that Apple does the right thing and a) publishes a note regarding the compatibility issue, and b) issues a patch to Ventura, Sonoma so they, too, will enable this terrific mouse to work as intended."
"February 9, 2025",I bought this to replace one I have been using for several years. Little did I know I needed to be running Sequoia in order for it to work properly. It connected and would move and click but none of the other options for the mouse were available. My fault for not paying attention.
"February 9, 2025","Often Apple products have a layer of quality, feel, integration, features or ease of use that distinguish them from the competition. This is not true here. While the quality and build are solid- this is a mouse- that at least with respect to the IPad Air M2 is comparable performance wise with products costing less than half.Functionality wise, other than a few gestures that are useful- I found a much less expensive Logitech mouse to be slightly more responsive. While the Logitech mouse uses a scroll wheel- it was no more laggy than the Magic Mouse.On the Mac Air, I have another Logitech mouse, again much less expensive, that meets my needs extremely well.This review is not intended to be a commercial for Logitech- but only to highlight that with respect to the Magic Mouse, the value proposition is not quite there. The build quality of the Magic Mouse is excellent, but the overall performance and ergonomics don’t seem to justify the price."
"February 7, 2025","With a simple flick of the button, I can effortlessly use the device wherever I need it. Its lightweight design makes it incredibly portable, easily sliding into my pocket when I’m on the go."
"February 6, 2025","I have had apple mouses before but I didn't even connect them to my computers.  Today, my new mouse arrived.  I was worried I would have problems ""getting"" the technology.... This mouse was a plug and play and it is awesome.  Not only does it work well, but it is beautiful."
"February 6, 2025","Be aware- if used with any Mac running any OS except Sequoia, you will not have full features- Magic Touch on this mouse will ONLY work with OS Sequoia or later. I found out the hard way by thinking I had a defective one the first time, as it failed to work with my old Mac as well. Why Apple would do this is beyond me, but it’s Apple (eye roll). It is hard to find this out on line, and Apple simply states on the box ‘requires Mac with the latest version of macOS’, with any specifics."
"February 3, 2025","Amazing mouse, it’s essentially a trackpad/mouse combo, I love it! Read many 50/50 reviews and was on the fence, couldn’t be happier I went for it! This mouse really help my productivity between three screens!!Also for me I experienced zero carpal tunnel using this mouse, in fact my wrist felt better after a 40-50 hour week!!"
"February 3, 2025","Initially I did not expect to like this mouse so much. Simple, small, unlit. Fits my small hand perfectly. Love the easy to use touch surface. Though I do wish the keyboard was lit, this mouse does not need it. Stays charged for a long time. Perfect mouse!"
"February 2, 2025","I only give it 4 stars for several reasons that are specific to iPad users, I believe:1. The top is very slick and easy to use finger gestures, whether deliberately or by accident. It takes some practice to keep your finger(s) floating over the mouse rather than resting on it. It’s too easy to move screen objects by accident with accidental finger movement on the mouse. I’m guessing this is more of a problem on an iPad than a Mac, because of the iPad’s sensitive touch screen.2. On an iPad, you don’t get a slanted arrow mouse pointer like on a Mac. Instead, you get a circle moving on the screen. Where the exact pointer is on an iPad is anyone’s guess.3. It’s easy to hold the mouse tilted to one side rather than in a straight North to South direction. This impacts how it behaves if you think you’re moving the mouse up when in reality you’re “up movement” is actually sliding sliding the mouse sideways.Finger gestures on top of the mouse is just one more way to control your iPad. Now I have my choice of using the Home button, the Apple Pencil, the Apple Magic Keyboard, or the Apple Magic Mouse. I bought the mouse for apps that I could not control with the keyboard, the pencil or my third-party mouse.It was maddening having a 3rd party mouse with a scrollwheel, which wouldn’t scroll.I know a lot of people are happy using 3rd party accessories on their Macs and iPads. I’ve had bad experiences with 3rd party keyboards and mice. If they don’t work exactly like Apple’s, then I feel I’ve only gotten what I paid for. The extra money I spend on Apple Accessories saves me time and frustration—that makes the added expense worth it, for me."
"February 2, 2025","Who cares if the charging port is on the bottom, you don't need to charge often . Works perfect with my MacBook M1Pro glad I picked this over the setachi or mx anywhere. Magic Mouse is superior! I would not buy this used my last 2 I bought used and did not have good outcomes with those this is the one now my setup is complete."
"February 2, 2025",requires continued use to get used to cordless use
"February 2, 2025","I recently upgraded to the **Apple Magic Mouse**, and I couldn't be happier with my purchase! This wireless, Bluetooth, rechargeable mouse has truly enhanced my Mac and iPad experience in several ways.**Easy Setup:**Setting up the Magic Mouse was a breeze. It connected instantly via Bluetooth with my Mac, and the pairing process was straightforward. The rechargeable battery is a game-changer—no more fumbling with disposable batteries. A quick charge using the Lightning cable and it’s ready to go, providing long-lasting power that keeps up with my busy schedule.**Multiple Functions:**The Magic Mouse is not just a sleek accessory; it's packed with functionality. The multi-touch surface allows for intuitive gestures such as swiping between pages, scrolling effortlessly, and accessing Mission Control with simple finger movements. These gestures make navigating through applications and documents so much smoother and more efficient.**Design and Comfort:**The minimalist design is both elegant and ergonomic. It fits comfortably in my hand, reducing strain during long work sessions. The smooth, responsive surface ensures precise cursor control, which is essential for tasks ranging from graphic design to everyday browsing.**Compatibility:**It works flawlessly with both my Mac and iPad, seamlessly switching between devices without any hiccups. Whether I’m working on a project, browsing the web, or managing emails, the Magic Mouse adapts perfectly to my needs.**Additional Features:**The rechargeable feature is incredibly convenient, eliminating the need for constant battery replacements. The low-profile design complements my Apple setup beautifully, adding a touch of sophistication to my workspace.Overall, the **Apple Magic Mouse** is a fantastic investment for anyone in the Apple ecosystem. Its easy setup, versatile functions, and sleek design make it an indispensable tool for enhancing productivity and user experience. Highly recommend it to anyone looking for a reliable and stylish mouse!"
"February 2, 2025","Purchased for a new MacBook Pro. Battery life is terrific, pairs via bluetooth. The only dumb thing is the charge port is on the bottom of the mouse so you can't charge and use at the same time. Since it charges so fast it's really not a big deal."
"February 2, 2025",A classic! but now with USB -C and at 20% discount when bought in December 2024
"January 30, 2025","I like that it's cordless, but it's a little harder to manipulate than the old, corded mouse, even though I got a special mouse pad for it."
"January 30, 2025","Great product, good mouse quality"
"January 28, 2025",Works great and connected to my MacBook without any issues.
"January 23, 2025",Apple works with apple. Had other wireless mice but always a problem. The wireless apple mouse no problem.
"January 23, 2025","high quality build, great integration on all apple hardware, and great battery life. been using this brand / type of Apple mouse since it was available back in 2010. Ive since owned several for my marketing business. the bad: charging port on bottom of mouse, cant use and charge at the same time."
"January 20, 2025",Great mouse.  It's smooth and works really well.  I just wish I could figure out the scroll.
"January 19, 2025",Its a great mouse to compliment my mac. Intuitive to use and looks amazing!
"January 19, 2025","I bought this because I edit a lot of pictures mostly using a laptop, it’s more comfortable using a mouse. I’m surprised with long the battery lasts. Initially it wasn’t accepting gestures but after a few adjustments in the settings it works perfectly"
"January 18, 2025","I bought this because I was tired of my other $20 dollar mouse not working great with the Mac, between the terrible scrolling quality and the connectivity issues, I just decided to make the great plunge and get the Magic Mouse. But, I am so happy I did, it works amazing. The agronomics of it could be better, but I don't necessarily mind because I am young. But the scrolling works great, it feels like using the trackpad on the Mac, but in a mouse form. I recently have done some video editing for a trip I took and I could not imagine using another mouse for that just because the Magic Mouse allows you not only to scroll up and down, but side to side like a trackpad. Some people complain about the charging method, but for me, I have a widget on my desktop that shows the battery percentage of my devices and when I see the mouse is low, when I go to take a break or log off for the day, I plug it in, no big deal. Would buy again, 100%. My only true complaint with the mouse is that it still only charge via lightening port and not USB-C, hopefully they fix that soon!"
"January 18, 2025","The only problem I have with the mouse is the fact that it's really not ergonomic at all, but that doesn't really matter. My problem is with the scroll wheel. for some reason the scrolling on macos is inverted, and when you try to fix it, the track pad becomes inverted. its so stupid really."
"January 18, 2025",Works great - long battery life - ease of use and quick response.
"January 16, 2025",Tried using an off-brand magic mouse first and was causing power issues with my Macbook so I opted for the more expensive Apple Magic Mouse that I was used to from my previous job. Works great. I am a video editor and I love being able to scroll without a wheel in the direction that I need without having to hold down a keyboard button to change directions between horizontal or vertical scrolling. My only complaint with the Apple Magic Mouse is the charging location which is on the bottom and renders the mouse useless while charging. This has been a problem ever since they created these but thankfully the battery lasts a long time before needing to recharge. This is definitely my favorite mouse to use with a Macbook.
"January 16, 2025",I realize I like this mouse and I’ll keep it.
"January 12, 2025","Apple products just seem to work very well.  I've tried the non-Apple products and have been disappointed every time!  The Apple Magic Mouse works great as did the other  Apple Magic Mouses.  Charging  it was funny, you lay the mouse upside down and connect the charger to the bottom side.  Great product.  Charges last a long time."
"January 11, 2025","The nice thing about Apple products is how easily they work with their other devices.  Connecting this Magic Mouse to my MacBook was seamless and took less than a minute.  This replaced a previous generation Magic Mouse (with AA batteries) that worked for 9 years until it died - not bad these days.  There's only two things I'd like to see Apple change on the generation of the Magic Mouse:#1 - Can we PLEASE stop using the old Lightning ports?  This mouse uses one for recharging (and it comes with a Lightning cable).  But the trend for the last couple of years has been to phase out the Lightning ports and cables in favor of USB-C.  I'd like to not have to have specific cables for specific devices any more.#2 - For some reason (likely aesthetics), the charging port is on the bottom of the Magic Mouse.  This, of course, renders the mouse useless when charging.  Apple need to take a cue from Logitech which places their charging port (a USB-C) on the front of their rechargeable mouses (mice?) so you can still use those while they refuel.  This charging port location is a rare bad design from Apple."
"January 9, 2025","I am an apple fan and I like the mouse. As with most things, genuine apple products work better with my Mac than off brands. That said they are pricier. I also like some of the features (clicking and rolling bar) better on generic versions. I am sticking with this one, though, because it works well with my computer set-up."
"January 9, 2025",Really wanted to like this but just too uncomfortable for my hands. Very low profile places the wrist on the work surface and no support while the hand is curled holding the mouse. Love the intuitive finger scrolling but after an hour I found myself wanting to stop using it. If you have super small hands this may work out.
"January 6, 2025",Worked as promised
"January 5, 2025",10/10 recommend.
"January 1, 2025","I don’t know who would enjoy using this kind of mouse. The design is impractical and not ergonomic. Plus, the charging slot is right underneath, so you have to flip it over to charge. The quality seems good, and compatibility with Apple computers is fast and easy, but I would never buy it again."
"December 31, 2024",The Mouse works perfectly!!!
"December 20, 2024","Awkward to hold. Don’t like the lightning charging port on bottom of mouse or absence of some kind of charge status - have to check settings in Macbook to see charge status. Does hold a charge very well though, but takes a long time to charge it up."
"December 19, 2024",This is one of the best BT mice on the market.I use this when traveling.  I normally use a track pad when in my office.
"December 19, 2024","Initially, I was skeptical given all the negative reviews on the mouse primarily for its ergonomic features. I'll admit, it's not a mouse I would use all day, and when I first used it, I did experience slight discomfort in my wrist. Frankly, I think many people are exaggerating though. This mouse along with all of its features makes using it a fun and productive experience. Take the negative comments about this mouse with a grain of salt, because in reality, it is a great product. As for the charging port on the bottom, it's whatever really, I bought this mouse months ago, and still has over 75% battery, so in reality, again, another problem people are blowing out of proportion. Definitely buy it!"
"December 15, 2024",Have been using for a while now.  I love it!
